Node ID,Latitude,Longitude,Properties
302178411,36.1159580,-115.1441338,0
302178412,36.1162946,-115.1438029,0
302178413,36.1168788,-115.1428591,0
302178414,36.1174036,-115.1411555,0
302178415,36.1176511,-115.1399788,0
302178416,36.1176808,-115.1393292,0
302178418,36.1176511,-115.1388390,0
302178419,36.1175323,-115.1362529,0
302178421,36.1176016,-115.1354072,0
302178423,36.1178690,-115.1343286,0
302178425,36.1181462,-115.1336790,0
302178426,36.1186116,-115.1324778,0
302178428,36.1192651,-115.1309458,0
302178430,36.1195820,-115.1297079,0
302178432,36.1196018,-115.1287274,0
302178434,36.1196216,-115.1279674,0
